name,en,as,bn,es,gu,hi,kn,ml,mr,or,pa,ta,te,bho,grt
app_name,Karya,Karya,Karya,Karya,Karya,Karya ,Karya ,Karya,Karya,Karya,Karya,கார்யா,Karya,Karya,Karya
lang_name,English,অসমীয়া,বাংলা,Español,ગુજરાતી,हिंदी,ಕನ್ನಡ,മലയാളം,मराठी,ଓଡ଼ିଆ,ਪੰਜਾਬੀ,தமிழ்,తెలుగు,भोजपुरी,Garo
continue_in_lang,Continue in English,অসমীয়াত অব্যাহত ৰাখক,বাংলায় এগিয়ে যান,Continuar en español,ગુજરાતીમાં ચાલુ રાખો,हिंदी में जारी रखें,ಕನ್ನಡದಲ್ಲಿ ಮುಂದುವರಿಸಿ,മലയാളത്തിൽ തുടരുക,मराठी मध्ये सुरू ठेवा,ଓଡ଼ିଆରେ ଜାରି ରଖନ୍ତୁ,ਪੰਜਾਬੀ ਵਿੱਚ ਜਾਰੀ ਰੱਖੋ,தமிழில் தொடரவும்,తెలుగులో కొనసాగించండి,भोजपुरी में जारी राखी,Garochi dakangkubo
phone_number,Phone Number,ফোন নম্বৰ,ফোন নম্বর,Número de teléfono,ફોન નંબર,फ़ोन नंबर,ದೂರವಾಣಿ ಸಂಖ್ಯೆ,ഫോൺ നമ്പർ,फोन नंबर,ଫୋନ୍ ନମ୍ବର,ਫੋਨ ਨੰਬਰ,தொலைபேசி எண்,ఫోన్ నెంబర్,फोन नम्बर,Phone number
msg_input_phone_number,"Karya requires your phone number to create your account. If you are an existing user, use your registered phone number.",6 આંકડાનો %s પર મોકલેલ OTP એન્ટર કરો.,আপনার একাউন্ট তৈরি করতে Karya-র আপনার ফোন নম্বর এর প্রয়োজন। আপনি যদি একজন বিদ্যমান ব্যবহারকারী হন তাহলে আপনি আপনার রেজিস্টার করা ফোন নম্বরটি ব্যবহার করুন।,"Karya requiere su número de teléfono para crear su cuenta. Si ya es usuario, utilice su número de teléfono registrado.",Karya માં તમારો એકાઉન્ટ ખોલવા માટે તમારા ફોન નંબરની જરૂર પડશે જો તમરો એકાઉન્ટ ખોળેલો હોય તો તમારા રજિસ્ટર્ડ ફોન નંબરનો ઉપયોગ કરો.,"Karya को आपका एकाउंट बनाने के लिए आपके फ़ोन नंबर की आवश्यकता है। यदि आप एक मौजूदा उपयोगकर्ता हैं, तो अपने पंजीकृत फ़ोन नंबर का उपयोग करें।","ನಿಮ್ಮ ಖಾತೆಯನ್ನು ರಚಿಸಲು ಕಾರ್ಯಾಗೆ ನಿಮ್ಮ ದೂರವಾಣಿ ಸಂಖ್ಯೆಯ ಅಗತ್ಯವಿದೆ. ನೀವು ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಬಳಕೆದಾರರಾಗಿದ್ದರೆ, ನಿಮ್ಮ ನೋಂದಾಯಿತ ದೂರವಾಣಿ ಸಂಖ್ಯೆಯನ್ನು ಬಳಸಿ.","നിങ്ങളുടെ Karya ലെ അക്കൗണ്ട് സൃഷ്ടിക്കാൻ നിങ്ങളുടെ ഫോൺ നമ്പർ ആവശ്യമാണ്. നിങ്ങൾ നിലവിലുള്ള ഒരു യൂസർ ആണെങ്കിൽ, നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത ഫോൺ നമ്പർ ഉപയോഗിക്കുക.","Karya ला तुमचे खाते तयार करण्यासाठी तुमचा फोन नंबर आवश्यक आहे.तुम्ही यापुर्वीच युजर असल्यास, तुमचा नोंदणीकृत फोन नंबर वापरा.","Karya ଆକାଉଣ୍ଟ୍ ତିଆରି କରିବା ପାଇଁ ଆପଣଙ୍କ ଫୋନ୍ ନମ୍ବରର ଆବଶ୍ୟକତା ରହିଛି। ଯଦି ଆପଣ ପୁରୁଣା ବ୍ୟବହାରକାରୀ, ତେବେ ଆପଣଙ୍କ ପଞ୍ଜିକୃତ ଫୋନ୍ ନମ୍ବର ବ୍ୟବହାର କରନ୍ତୁ |","Karya ਨੂੰ ਤੁਹਾਡਾ ਖਾਤਾ ਬਣਾਉਣ ਲਈ ਤੁਹਾਡੇ ਫ਼ੋਨ ਨੰਬਰ ਦੀ ਲੋੜ ਹੈ। ਜੇਕਰ ਤੁਸੀਂ ਮੌਜੂਦਾ ਉਪਭੋਗਤਾ ਹੋ, ਤਾਂ ਆਪਣੇ ਰਜਿਸਟਰਡ ਫ਼ੋਨ ਨੰਬਰ ਦੀ ਵਰਤੋਂ ਕਰੋ।","உங்கள் கணக்கை உருவாக்க கார்யாவுக்கு உங்கள் ஃபோன் எண் தேவை. நீங்கள் ஏற்கனவே பயனராக இருந்தால், உங்கள் பதிவு செய்யப்பட்ட தொலைபேசி எண்ணைப் பயன்படுத்தவும்.","మీ ఖాతాను సృష్టించడానికి karyaకి మీ ఫోన్ నంబర్ అవసరం. మీరు ఇప్పటికే ఖాతా ఉన్న వినియోగదారులు అయితే, మీ రిజిస్టర్డ్ ఫోన్ నంబర్‌ని ఉపయోగించండి",Karya के आपन खाता बनावे खातिर राउर फोन नंबर के जरूरत होला. अगर रउरा मौजूदा यूजर बानी त आपन रजिस्टर्ड फोन नंबर के इस्तेमाल करीं.,"Nangn·ni account-ko kulina Karya nang·ni phone number-ko nanga. Na·a iako skangan jakkalgipa ong·ode, nang·ni register kagimin phone number-ko jakkalbo."
otp_title,OTP Verification,OTP পৰীক্ষণ,OTP যাচাইকরণ,Verificación OTP,OTP ચકાસણી,OTP वेरिफिकेशन,OTP ಪರಿಶೀಲನೆ,OTP പരിശോധന,OTP पडताळणी,OTP ଭେରିଫିକେସନ,OTP ਪੁਸ਼ਟੀਕਰਨ,OTP சரிபார்ப்பு,OTP ధృవీకరణ,OTP वेरिफिकेशन,OTP verify ka·ani
msg_input_otp,Enter the %s digit OTP sent to %s,%s লৈ প্ৰেৰণ কৰা %s ৰ অংকৰ OTP প্ৰবিষ্ট কৰক,%s এ পাঠানো  %s সংখ্যার OTP টি লিখুন।,Ingrese el OTP de %s dígitos mandado a %s,%s આંકડાવાળી ઓટીપી દાખલ કરો જે %s પર મોકલવામાં આવી છે,%s को भेजा गया %s अंक का OTP दर्ज करें,%s ಗೆ ಕಳುಹಿಸಲಾದ %s ಅಂಕಿಯ OTP ಅನ್ನು ನಮೂದಿಸಿ,%s ലേക്ക് അയച്ച %s അക്ക OTP നൽകുക,%s ला पाठवलेला %s अंकी OTP एंटर करा,"%s ଅଙ୍କର OTP %s କୁ ପଠାଯାଇଛି, ଦୟାକରି ସେହି ଅଙ୍କକୁ ଭରନ୍ତୁ ",%s ਅੰਕ ਦਿਓ %s ਨੂੰ ਭੇਜਿਆ ਗਿਆ OTP,%s க்கு அனுப்பப்பட்ட %s இலக்க OTP ஐ உள்ளிடவும்,%sకి పంపబడిన %s అంకెల OTPని నమోదు చేయండి,%s के भेजल %s अंक के OTP दर्ज करीं,%s ona watatgipa OTP %s digit ko gapatbo
otp,OTP,OTP,OTP,OTP,OTP,OTP,OTP,OTP,OTP,OTP,OTP,OTP,OTP,OTP,OTP
msg_otp_not_received,Did not receive OTP,OTP পোৱা নাই,OTP পাওয়া যায়নি।,No recibí OTP,OTP મળેલ નથી,OTP नहीं मिला,OTP ಸ್ವೀಕರಿಸಲಿಲ್ಲ,OTP ലഭിച്ചില്ല,OTP प्राप्त झाला नाही,OTP ଆସିଲା ନାହିଁ,OTP ਪ੍ਰਾਪਤ ਨਹੀਂ ਹੋਇਆ,OTP பெறவில்லை,OTP అందలేదు,OTP ना मिलल,OTP-ko man·sokuja
